영업상태구분코드,소재지전체주소,사업장명,업태구분명
1,서울특별시 영등포구 양평동4가 150-2 2층,선유비어,호프/통닭
1,서울특별시 영등포구 영등포동 602-88 지하1층,새롬호프,호프/통닭
1,서울특별시 영등포구 문래동3가 58-57 1층,주주객반,호프/통닭
1,서울특별시 영등포구 양평동4가 27-6번지 지상1층,훌랄라참숯바베큐,통닭(치킨)
1,서울특별시 영등포구 당산동3가 150-1 지상1층,안방호프,호프/통닭
1,서울특별시 영등포구 대림동 1057-18 2층 전체,쇼주관,호프/통닭
1,"서울특별시 영등포구 여의도동 50 시범상가 1층 2,3,4동 106호",땅땅치킨,호프/통닭
1,서울특별시 영등포구 여의도동 13-17 굿피플빌딩 2층,깐부치킨(서여의도점),호프/통닭
1,서울특별시 영등포구 여의도동 32-1 수정상가 2층 201호,여의 경양식,호프/통닭
1,서울특별시 영등포구 대림동 1018-23번지 지하1층,인연,호프/통닭
1,서울특별시 영등포구 대림동 739-1 유림빌딩,대림동 맛집,호프/통닭
1,서울특별시 영등포구 도림동 184-8번지 지상1층,포장마차 참살이,호프/통닭
1,서울특별시 영등포구 대림동 665-2,묵찌빠호프,호프/통닭
1,서울특별시 영등포구 신길동 4943번지 선원가와인1층103호,이도맥주,호프/통닭
1,서울특별시 영등포구 대림동 1047-11 2층 201호,술 단밤,호프/통닭
1,서울특별시 영등포구 당산동2가 71 1층,서도냉면,호프/통닭
1,서울특별시 영등포구 대림동 1032-19번지 지상2층,호수호프,호프/통닭
1,서울특별시 영등포구 대림동 688-27 1층,호식이두마리치킨대림점,호프/통닭
1,서울특별시 영등포구 대림동 706-27 지하1층,서울커피호프,호프/통닭
1,서울특별시 영등포구 신길동 3710 지층102호,치킨뱅이 신풍역점,통닭(치킨)
1,서울특별시 영등포구 여의도동 15-16번지 산정B/D 지상1층106호,오치킨,통닭(치킨)
1,서울특별시 영등포구 대림동 1057-21,대림찹쌀순대,통닭(치킨)
1,서울특별시 영등포구 대림동 1052-35 지상2층,대동강호프,호프/통닭
1,서울특별시 영등포구 문래동4가 7-5번지 지상1층,원조마늘통닭,호프/통닭
1,서울특별시 영등포구 양평동4가 74 지상2층,보배반점 선유도,호프/통닭
1,서울특별시 영등포구 당산동6가 216-5 지상2층,벌툰,호프/통닭
1,"서울특별시 영등포구 양평동5가 76 한신아파트상가 106동 1-21호,1-30호",한잔!뭔말인지알지,호프/통닭
1,서울특별시 영등포구 당산동3가 539번지 지상1층,실비아,호프/통닭
1,서울특별시 영등포구 신길동 4387번지 지상1층,보라매,호프/통닭
1,서울특별시 영등포구 대림동 689 문화빌딩,종로김밥(대림3동점),통닭(치킨)
1,서울특별시 영등포구 대림동 864-10번지 지하1층,베스트호프,호프/통닭
1,서울특별시 영등포구 대림동 722-9번지 1층,다미옛날통닭,호프/통닭
1,서울특별시 영등포구 영등포동7가 66-4 외1필지 지하1층,수(SOO),호프/통닭
1,서울특별시 영등포구 신길동 1437 신한빌딩 1층 103호,치킨마루대방역점,호프/통닭
1,서울특별시 영등포구 당산동2가 135번지,치킨장인,호프/통닭
1,서울특별시 영등포구 여의도동 44-31 1층,교촌치킨여의도점,호프/통닭
1,서울특별시 영등포구 신길동 674번지 1층,교촌치킨,통닭(치킨)
1,서울특별시 영등포구 여의도동 13-19번지 남중빌딩 2층4호,포,통닭(치킨)
1,서울특별시 영등포구 신길동 2039 단지내상가B동 지하2층 102호,짝태시대(신풍점),호프/통닭
1,서울특별시 영등포구 여의도동 45-13 코오롱프레스텔 지하1층,에이베리(AVERY),호프/통닭
1,서울특별시 영등포구 여의도동 35-5 종합상가지하2-3호,여의도 우아,호프/통닭
1,"서울특별시 영등포구 여의도동 26 에스트레뉴 지상3층 303호, 304-1호",BHC여의도역점,호프/통닭
